"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","SUPP CODE","NAME"                                     ,"TITLE"                  ,"ADDRESS 1"                       ,"ADDRESS 2"               ,"CITY"            ,"STATE AB","ZIP"  ,"ENROLLMENT","FIPS STATE"
"23"        ,"0"        ,"000"        ,"000"      ,"065"      ,"NEW SCHOOL FOR CREATIVE LEARNING"         ,"DIRECTOR"               ,"3950 BURTON SE"                  ,                          ,"GRAND RAPIDS"    ,"MI"      ,"49546","15"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"066"      ,"BENITO JUAREZ ACADEMY"                    ,"DIRECTOR"               ,"3830 LAMSON STREET"              ,                          ,"SAGINAW"         ,"MI"      ,"48601","43"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"067"      ,"PLYMOUTH EDUC CTR CHARTER SCHOOL"         ,"DIRECTOR"               ,"600 EAST WARREN"                 ,                          ,"DETROIT"         ,"MI"      ,"48201","60"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"068"      ,"NATAKI TALIBAH SCHOOLHOUSE"               ,"DIRECTOR"               ,"19176 NORTHROP"                  ,                          ,"DETROIT"         ,"MI"      ,"48219","138"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"069"      ,"SIERRA LEONE EDUC OUTREACH"               ,"DIRECTOR"               ,"13477 EUREKA"                    ,                          ,"DETROIT"         ,"MI"      ,"48212","139"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"070"      ,"MICHIGAN AUTOMOTIVE ACADEMY"              ,"DIRECTOR"               ,"21000 NORTHLINE"                 ,                          ,"TAYLOR"          ,"MI"      ,"48180","40"       ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"071"      ,"THOMAS-GIST ACADEMY"                      ,"DIRECTOR"               ,"4825 DANCY BLVD"                 ,                          ,"WESTLAND"        ,"MI"      ,"48186","150"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"072"      ,"AGBU ALEX & MARIE MANOOGIAN"              ,"DIRECTOR"               ,"22001 NORTHWESTERN HWY"          ,                          ,"SOUTHFIELD"      ,"MI"      ,"48075","159"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"073"      ,"CONCORD ACADEMY-BOYNE"                    ,"DIRECTOR"               ,"00401 EAST DIETZ ROAD"           ,                          ,"BOYNE CITY"      ,"MI"      ,"49712","160"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"074"      ,"ACADEMY OF DETROIT-OAK PARK"              ,"DIRECTOR"               ,"21700 MARLOW ST"                 ,                          ,"OAK PARK"        ,"MI"      ,"48237","213"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"075"      ,"ACAD OF DETROIT-SOUTHFIELD"               ,"DIRECTOR"               ,"18330 GEORGE WASHINGTON ST"      ,                          ,"SOUTHFIELD"      ,"MI"      ,"48075","328"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"076"      ,"ACADEMY OF DETROIT EAST"                  ,"DIRECTOR"               ,"21700 MARLOW ST"                 ,                          ,"OAK PARK"        ,"MI"      ,"48237","108"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"077"      ,"ACADEMY OF DETROIT WEST"                  ,"DIRECTOR"               ,"16418 WEST MCNICHOLS"            ,                          ,"DETROIT"         ,"MI"      ,"48235","233"      ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"078"      ,"RENAISSANCE PUBLIC SCH ACAD"              ,"DIRECTOR"               ,"2797 SOUTH ISABELLA RD"          ,                          ,"MT PLEASANT"     ,"MI"      ,"48858","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"079"      ,"FENNVILLE CHARTER SCHOOL"                 ,"DIRECTOR"               ,"2611 56TH ST"                    ,                          ,"FENNVILLE"       ,"MI"      ,"49408","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"082"      ,"ISLAND CITY ACADEMY"                      ,"DIRECTOR"               ,"103 ALBERS"                      ,                          ,"EATON RAPIDS"    ,"MI"      ,"48827","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"083"      ,"MID-MICHIGAN PUBLIC SCH ACAD"             ,"DIRECTOR"               ,"730 W. MAPLE"                    ,                          ,"LANSING"         ,"MI"      ,"48906","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"084"      ,"WALTER FRENCH ACADEMY"                    ,"DIRECTOR"               ,"1900 S CEDAR STREET"             ,                          ,"LANSING"         ,"MI"      ,"48910","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"085"      ,"NORTHSIDE PREPARATORY SCHOOL"             ,"DIRECTOR"               ,"203 WEST NORTH STREET"           ,                          ,"KALAMAZOO"       ,"MI"      ,"49007","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"086"      ,"THE LEARNING CENTER ACADEMY"              ,"DIRECTOR"               ,"8300 BYRON CENTER AVENUE"        ,                          ,"BYRON CENTER"    ,"MI"      ,"49315","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"087"      ,"LIVINGSTON DEVELOP. ACADEMY"              ,"DIRECTOR"               ,"9758 EAST HIGHLAND ROAD"         ,                          ,"HOWELL"          ,"MI"      ,"48843","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"088"      ,"OASIS ACADEMY"                            ,"DIRECTOR"               ,"21705 EVERGREEN ROAD"            ,                          ,"SOUTHFIELD"      ,"MI"      ,"48075","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"089"      ,"LAKESHORE PUBLIC ACADEMY"                 ,"DIRECTOR"               ,"6023 N 72ND AVE"                 ,                          ,"HART"            ,"MI"      ,"49420","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"090"      ,"BLACK RIVER PUBLIC SCHOOL"                ,"DIRECTOR"               ,"455 E 8TH STREET"                ,                          ,"HOLLAND"         ,"MI"      ,"49423","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"091"      ,"WEST MI ACAD FOR ARTS & ACAD"             ,"DIRECTOR"               ,"14211 120TH AVENUE"              ,                          ,"GRAND HAVEN"     ,"MI"      ,"49417","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"092"      ,"CENTRAL ACADEMY"                          ,"DIRECTOR"               ,"2459 SOUTH INDUSTRIAL ROAD"      ,                          ,"ANN ARBOR"       ,"MI"      ,"48104","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"093"      ,"ACADEMY OF DETROIT-WESTLAND"              ,"DIRECTOR"               ,"300 HENRY RUFF RD"               ,                          ,"WESTLAND"        ,"MI"      ,"48185","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"094"      ,"WOODWARD ACADEMY"                         ,"DIRECTOR"               ,"951 E LAFAYETTE"                 ,                          ,"DETROIT"         ,"MI"      ,"48207","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"095"      ,"COLIN POWELL ACADEMY"                     ,"DIRECTOR"               ,"4800 COPLIN"                     ,                          ,"DETROIT"         ,"MI"      ,"48215","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"096"      ,"DETROIT SCH. OF INDUSTRIAL ARTS"          ,"DIRECTOR"               ,"11055 GLENFIELD"                 ,                          ,"DETROIT"         ,"MI"      ,"48213","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"097"      ,"SUMMIT ACADEMY"                           ,"DIRECTOR"               ,"30100 OLMSTEAD ROAD   PO BOX 277",                          ,"FLAT ROCK"       ,"MI"      ,"48134","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"098"      ,"NORTHWEST ACADEMY"                        ,"DIRECTOR"               ,"105 WEST HURLBUT"                ,                          ,"CHARLEVOIX"      ,"MI"      ,"49720","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"099"      ,"THE CREATIVE LEARNING ACAD"               ,"DIRECTOR"               ,"540 LANG ST"                     ,"P.O. BOX 345"            ,"BEAVERTON"       ,"MI"      ,"48612","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"100"      ,"TRAVERSE BAY COMMUNITY SCHOOL"            ,"DIRECTOR"               ,"7224 SUPPLY ROAD"                ,                          ,"TRAVERSE CITY"   ,"MI"      ,"49686","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"101"      ,"SUNRISE EDUCATIONAL CENTER"               ,"DIRECTOR"               ,"P.O. BOX 135"                    ,                          ,"TAWAS CITY"      ,"MI"      ,"48764","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"102"      ,"LAKE BLUFF ACADEMY"                       ,"DIRECTOR"               ,"PO BOX 388"                      ,"3721 E PORTAGE POINTE RD","ONEKAMA"         ,"MI"      ,"49675","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"103"      ,"MICHIGAN HEALTH ACADEMY"                  ,"DIRECTOR"               ,"15100 NORTHLINE ROAD  SUITE 155B",                          ,"SOUTHGATE"       ,"MI"      ,"48195","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"104"      ,"CESAR CHAVEZ ACADEMY"                     ,"DIRECTOR"               ,"8126 W VERNOR"                   ,                          ,"DETROIT"         ,"MI"      ,"48209","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"105"      ,"VANDERBILT CHARTER ACADEMY"               ,"DIRECTOR"               ,"301 WEST 16TH STREET"            ,                          ,"HOLLAND"         ,"MI"      ,"49423","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"106"      ,"VANGUARD CHARTER ACADEMY"                 ,"DIRECTOR"               ,"1620 52ND STREET SW"             ,                          ,"WYOMING"         ,"MI"      ,"49509","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"107"      ,"VISTA CHARTER ACADEMY"                    ,"DIRECTOR"               ,"711 32ND STREET"                 ,                          ,"WYOMING"         ,"MI"      ,"49548","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"108"      ,"GRATTAN ACADEMY"                          ,"DIRECTOR"               ,"12047 OLD BELDING ROAD"          ,                          ,"BELDING"         ,"MI"      ,"48809","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"109"      ,"ELBERT T. CLARK ACADEMY"                  ,"DIRECTOR"               ,"16151 JAMES COUZENS"             ,                          ,"DETROIT"         ,"MI"      ,"48221","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"110"      ,"THE MIDLAND ACADEMY"                      ,"DIRECTOR"               ,"4653 BAILY BRIDGE RD"            ,                          ,"MIDLAND"         ,"MI"      ,"48640","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"112"      ,"QUESTAR ACADEMY"                          ,"DIRECTOR"               ,"5106 CALKINS ROAD"               ,                          ,"FLINT"           ,"MI"      ,"48532","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"114"      ,"GAUDIOR ACADEMY"                          ,"DIRECTOR"               ,"25350 WEST SIX MILE ROAD"        ,                          ,"REDFORD"         ,"MI"      ,"48240","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"115"      ,"COMMONWEALTH COMMUNITY DEVELOP"           ,"DIRECTOR"               ,"8735 SCHOOLCRAFT"                ,                          ,"DETROIT"         ,"MI"      ,"48238","0"        ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"117"      ,"NEW DIRECTIONS INSTITUTE"                 ,"DIRECTOR"               ,"196 OAKLAND AVENUE"              ,                          ,"PONTIAC"         ,"MI"      ,"48343","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"118"      ,"ACAD FOR BUS & INTER. STUD."              ,"DIRECTOR"               ,"26104 ETON"                      ,                          ,"DEARBORN HEIGHTS","MI"      ,"48125","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"119"      ,"NSOROMA INSTITUTE"                        ,"DIRECTOR"               ,"16300 WOODWARD"                  ,                          ,"HIGHLAND PARK"   ,"MI"      ,"48203","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"120"      ,"COUNTRYSIDE CHARTER SCHOOL"               ,"DIRECTOR"               ,"4800 MEADOWBROOK ROAD"           ,                          ,"BENTON HARBOR"   ,"MI"      ,"49022","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"121"      ,"ACADEMY OF HEALTH AND SCIENCE"            ,"DIRECTOR"               ,"1750 WOODWORTH STREET N.E."      ,                          ,"GRAND RAPIDS"    ,"MI"      ,"49505","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"122"      ,"GATEWAY MIDDLE/HIGH SCHOOL"               ,"DIRECTOR"               ,"ONE MONROE CENTER, SUITE 209"    ,                          ,"GRAND RAPIDS"    ,"MI"      ,"49503","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"123"      ,"CHATFIELD SCHOOL"                         ,"DIRECTOR"               ,"231 LAKE DRIVE"                  ,                          ,"LAPEER"          ,"MI"      ,"48446","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"124"      ,"CHANDLER PARK ACADEMY"                    ,"DIRECTOR"               ,"15932 EAST WARREN STREET"        ,                          ,"DETROIT"         ,"MI"      ,"48224","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"125"      ,"ML WINANS ACAD OF PERFORM ARTS"           ,"DIRECTOR"               ,"7616 EAST NEVADA"                ,                          ,"DETROIT"         ,"MI"      ,"48234","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"126"      ,"DETROIT COMMUNITY HIGH SCHOOL"            ,"DIRECTOR"               ,"9331 GRANDVILLE"                 ,                          ,"DETROIT"         ,"MI"      ,"48228","0"            ,"26"
"23"        ,"0"        ,"000"        ,"000"      ,"127"      ,"GREAT LAKES ACADEMY"                      ,"DIRECTOR"               ,"120 EAST WIDETRACK"              ,                          ,"PONTIAC"         ,"MI"      ,"48324","0"            ,"26"
