"STATE CODE","TYPE CODE","COUNTY CODE","UNIT CODE","NAME","POLITICAL DESCRIPTION","TITLE","ADDRESS 1","ADDRESS 2","CITY","STATE AB","ZIP","POPULATION 1996","FIPS STATE","FIPS COUNTY","FIPS PLACE","COUNTY AREA NAME","COUNTY AREA TYPE","FIPS MSA","FIPS CMSA","MSA POPULAR NAME"
"01","2","005","903","NECTAR","TOWN","TOWN CLERK","P. O. BOX 235",,"CLEVELAND","AL","35049",262,"01","009","53448","BLOUNT","COUNTY","1000","00","BIRMINGHAM, AL"
"01","2","006","001","MIDWAY","TOWN","MAYOR","P. O. BOX 36",,"MIDWAY","AL","36053",445,"01","011","48424","BULLOCK","COUNTY",,,
"01","2","006","002","UNION SPRINGS","CITY","MAYOR","P. O. BOX 549",,"UNION SPRINGS","AL","36089",4149,"01","011","77880","BULLOCK","COUNTY",,,
"01","2","007","002","GEORGIANA","CITY","MAYOR","P. O. BOX 310",,"GEORGIANA","AL","36033",1874,"01","013","29560","BUTLER","COUNTY",,,
"01","2","007","003","GREENVILLE","CITY","MAYOR","P. O. BOX 158",,"GREENVILLE","AL","36037",7589,"01","013","31912","BUTLER","COUNTY",,,
"01","2","007","004","MCKENZIE","TOWN","MAYOR","P. O. BOX 151",,"MCKENZIE","AL","36456",441,"01","013","45496","BUTLER","COUNTY",,,
"01","2","008","001","ANNISTON","CITY","MAYOR","P. O. BOX 670",,"ANNISTON","AL","36202",25774,"01","015","01852","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","002","BLUE MOUNTAIN","TOWN","MAYOR","3331 CRESTHILL AVENUE",,"BLUE MOUNTAIN","AL","36201",200,"01","015","07552","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","003","HOBSON CITY","TOWN","OFFICE OF THE MAYOR","21 PARK AVE",,"HOBSON CITY","AL","36201",801,"01","015","35152","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","004","JACKSONVILLE","CITY","MAYOR","320 CHURCH AVE., SE",,"JACKSONVILLE","AL","36265",9526,"01","015","38272","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","005","OHATCHEE","TOWN","MAYOR","301 MAIN STREET",,"OHATCHEE","AL","36271",1073,"01","015","56472","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","006","OXFORD","CITY","MAYOR","P O BOX 3383",,"OXFORD","AL","36203",10408,"01","015","57576","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","007","PIEDMONT","CITY","MAYOR","P. O. BOX 112",,"PIEDMONT","AL","36272",5214,"01","015","59640","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","008","008","WEAVER","CITY","MAYOR","P. O. BOX 1125",,"WEAVER","AL","36277",2707,"01","015","80352","CALHOUN","COUNTY","0450","00","ANNISTON, AL"
"01","2","009","001","FIVE POINTS","TOWN","MAYOR","BOX 146",,"FIVE POINTS","AL","36855",193,"01","017","26200","CHAMBERS","COUNTY",,,
"01","2","009","002","LAFAYETTE","CITY","MAYOR","P. O. BOX 87",,"LAFAYETTE","AL","36862",3108,"01","017","40672","CHAMBERS","COUNTY",,,
"01","2","009","003","LANETT","CITY","MAYOR","P. O. BOX 290",,"LANETT","AL","36863",8772,"01","017","41296","CHAMBERS","COUNTY",,,
"01","2","009","004","WAVERLY","TOWN","MAYOR","P. O. BOX 115",,"WAVERLY","AL","36879",149,"01","017","80256","CHAMBERS","COUNTY",,,
"01","2","009","601","VALLEY","CITY","MAYOR","P. O. BOX 186",,"VALLEY","AL","36864",9283,"01","017","78204","CHAMBERS","COUNTY",,,
"01","2","010","001","CEDAR BLUFF","TOWN","CITY CLERK","P. O. BOX 38",,"CEDAR BLUFF","AL","35959",1403,"01","019","12760","CHEROKEE","COUNTY",,,
"01","2","010","002","CENTRE","CITY","MAYOR","401 E MAIN ST.",,"CENTRE","AL","35960",3124,"01","019","13648","CHEROKEE","COUNTY",,,
"01","2","010","003","GAYLESVILLE","TOWN","MAYOR","P. O. BOX 156",,"GAYLESVILLE","AL","35973",151,"01","019","29296","CHEROKEE","COUNTY",,,
"01","2","010","401","SAND ROCK","TOWN","MAYOR","ROUTE 1 BOX 148",,"LEESBURG","AL","35983",457,"01","019","67920","CHEROKEE","COUNTY",,,
"01","2","010","801","LEESBURG","TOWN","MAYOR","P. O. BOX 1",,"LEESBURG","AL","35983",236,"01","019","42016","CHEROKEE","COUNTY",,,
"01","2","011","001","CLANTON","CITY","MAYOR","P. O. BOX 580",,"CLANTON","AL","35045",8429,"01","021","15136","CHILTON","COUNTY",,,
"01","2","011","002","JEMISON","TOWN","MAYOR","P. O. BOX 609",,"JEMISON","AL","35085",2014,"01","021","38608","CHILTON","COUNTY",,,
"01","2","011","003","MAPLESVILLE","TOWN","MAYOR","P. O. BOX 9",,"MAPLESVILLE","AL","36750",790,"01","021","46504","CHILTON","COUNTY",,,
"01","2","011","004","THORSBY","TOWN","MAYOR","P. O. BOX 608",,"THORSBY","AL","35171",1618,"01","021","76080","CHILTON","COUNTY",,,
"01","2","012","001","BUTLER","CITY","MAYOR","P. O. BOX 455",,"BUTLER","AL","36904",1785,"01","023","11032","CHOCTAW","COUNTY",,,
"01","2","012","002","GILBER TOWN","TOWN","MAYOR","P. O. BOX 152",,"GILBERTOWN","AL","36908",214,"01","023","29704","CHOCTAW","COUNTY",,,
"01","2","012","003","SILAS","TOWN","MAYOR","P. O. BOX 147",,"SILAS","AL","36919",232,"01","023","70416","CHOCTAW","COUNTY",,,
"01","2","012","004","TOXEY","TOWN","MAYOR","P. O. BOX 318",,"TOXEY","AL","36921",207,"01","023","76632","CHOCTAW","COUNTY",,,
"01","2","012","601","LISMAN","TOWN","MAYOR","P. O. BOX 157",,"LISMAN","AL","36912",453,"01","023","43384","CHOCTAW","COUNTY",,,
"01","2","012","602","NEEDHAM","TOWN","MAYOR","GENERAL DELIVERY",,"NEEDHAM","AL","36915",95,"01","023","53472","CHOCTAW","COUNTY",,,
"01","2","012","901","PENNINGTON","TOWN","MAYOR","P. O. BOX 40",,"PENNINGTON","AL","36916",299,"01","023","58968","CHOCTAW","COUNTY",,,
"01","2","013","001","COFFEEVILLE","TOWN","MAYOR","P. O. BOX 10",,"COFFEEVILLE","AL","36524",434,"01","025","16264","CLARKE","COUNTY",,,
"01","2","013","002","FULTON","TOWN","MAYOR","P. O. BOX 67",,"FULTON","AL","36446",388,"01","025","28504","CLARKE","COUNTY",,,
"01","2","013","003","GROVE HILL","TOWN","MAYOR","POST OFFICE BOX 847",,"GROVE HILL","AL","36451",1506,"01","025","32080","CLARKE","COUNTY",,,
"01","2","013","004","JACKSON","CITY","MAYOR","P O BOX 1096",,"JACKSON","AL","36545",6117,"01","025","38152","CLARKE","COUNTY",,,
"01","2","013","005","THOMASVILLE","CITY","MAYOR","P. O. BOX 127",,"THOMASVILLE","AL","36784",4518,"01","025","75960","CLARKE","COUNTY",,,
"01","2","014","001","ASHLAND","CITY","MAYOR","P. O. BOX 849",,"ASHLAND","AL","36251",2068,"01","027","02860","CLAY","COUNTY",,,
"01","2","014","002","LINEVILLE","CITY","MAYOR","P. O. BOX 247",,"LINEVILLE","AL","36266",2437,"01","027","43264","CLAY","COUNTY",,,
"01","2","015","001","EDWARDSVILLE","TOWN","MAYOR","P. O. BOX 8",,"EDWARDSVILLE","AL","36261",123,"01","029","23176","CLEBURNE","COUNTY",,,
"01","2","015","002","FRUITHURST","TOWN","JESSE WILLIAMS","CLERK",,"FRUITHURST","AL","36262",190,"01","029","28432","CLEBURNE","COUNTY",,,
"01","2","015","003","HEFLIN","CITY","MAYOR","P. O. BOX 128",,"HEFLIN","AL","36264",3053,"01","029","33976","CLEBURNE","COUNTY",,,
"01","2","015","501","RANBURNE","TOWN","MAYOR","P. O. BOX 219",,"RANBURNE","AL","36273",465,"01","029","63408","CLEBURNE","COUNTY",,,
"01","2","016","001","ELBA","CITY","MAYOR","200 BUFORD STREET",,"ELBA","AL","36323",4095,"01","031","23296","COFFEE","COUNTY",,,
"01","2","016","002","ENTERPRISE","CITY","MAYOR","P. O. BOX 1160",,"ENTERPRISE","AL","36331",21253,"01","031","24184","COFFEE","COUNTY",,,
"01","2","016","003","KINSTON","TOWN","MAYOR","P. O. BOX 26",,"KINSTON","AL","36453",604,"01","031","40096","COFFEE","COUNTY",,,
"01","2","016","004","NEW BROCKTON","TOWN","MAYOR","202 SOUTH JOHN STREET",,"NEW BROCKTON","AL","36351",1214,"01","031","53856","COFFEE","COUNTY",,,
"01","2","017","001","CHEROKEE","TOWN","MAYOR","P. O. BOX D",,"CHEROKEE","AL","35616",1441,"01","033","14152","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","2","017","002","LEIGHTON","TOWN","MAYOR","E G BOATWRIGHT",,"LEIGHTON","AL","35646",978,"01","033","42160","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","2","017","003","LITTLEVILLE","TOWN","TOWN CLERK","RT 7 BOX 359",,"RUSSELLVILLE","AL","35653",944,"01","033","43648","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","2","017","004","MUSCLE SHOALS","CITY","CITY CLERK","P. O. BOX 2624",,"MUSCLE SHOALS","AL","35662",10487,"01","033","53016","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","2","017","005","SHEFFIELD","CITY","CITY CLERK","P. O. DRAWER Q",,"SHEFFIELD","AL","35660",10216,"01","033","69648","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","2","017","006","TUSCUMBIA","CITY","CITY COMMISSIONER","P. O. BOX 29",,"TUSCUMBIA","AL","35674",8253,"01","033","77280","COLBERT","COUNTY","2650","00","FLORENCE, AL"
"01","2","018","001","CASTLEBERRY","TOWN","MAYOR","P. O. BOX 97",,"CASTLEBERRY","AL","36432",683,"01","035","12496","CONECUH","COUNTY",,,
"01","2","018","002","EVERGREEN","CITY","MAYOR","P. O. BOX 229",,"EVERGREEN","AL","36401",3813,"01","035","24808","CONECUH","COUNTY",,,
"01","2","018","003","REPTON","TOWN","MARGARET R MIMS","CLERK",,"REPTON","AL","36475",292,"01","035","64368","CONECUH","COUNTY",,,
"01","2","019","001","GOODWATER","CITY","MAYOR","P O BOX 45",,"GOODWATER","AL","35072",1805,"01","037","30640","COOSA","COUNTY",,,
"01","2","019","002","ROCKFORD","TOWN","MAYOR","P. O. BOX 128",,"ROCKFORD","AL","35136",465,"01","037","65472","COOSA","COUNTY",,,
"01","2","020","001","ANDALUSIA","CITY","MAYOR","P. O. BOX 429",,"ANDALUSIA","AL","36420",9081,"01","039","01708","COVINGTON","COUNTY",,,
"01","2","020","002","FLORALA","CITY","MAYOR","P. O. BOX 351",,"FLORALA","AL","36442",1990,"01","039","26848","COVINGTON","COUNTY",,,
"01","2","020","003","HEATH","TOWN","CLERK","P O BOX 1414",,"ANDALUSIA","AL","36420",193,"01","039","33904","COVINGTON","COUNTY",,,
"01","2","020","004","LOCKHART","TOWN","CITY CLERK","P. O. BOX 216",,"LOCKHART","AL","36455",479,"01","039","43816","COVINGTON","COUNTY",,,
"01","2","020","005","OPP","CITY","MAYOR","P. O. BOX 311",,"OPP","AL","36467",6920,"01","039","57120","COVINGTON","COUNTY",,,
"01","2","020","006","RED LEVEL","TOWN","MAYOR","P. O. BOX 236",,"RED LEVEL","AL","36474",605,"01","039","63768","COVINGTON","COUNTY",,,
"01","2","020","007","RIVER FALLS","TOWN","TOWN CLERK","P. O. BOX 17",,"RIVER FALLS","AL","36476",761,"01","039","64776","COVINGTON","COUNTY",,,
"01","2","020","501","BABBIE","CITY","MAYOR","RT 3 BOX 292",,"BABBIE","AL","36420",626,"01","039","03556","COVINGTON","COUNTY",,,
"01","2","020","801","CAROLINA","TOWN","MAYOR","ROUTE 5",,"ANDALUSIA","AL","36420",214,"01","039","12160","COVINGTON","COUNTY",,,
"01","2","020","802","GANTT","TOWN","MAYOR","P. O. DRAWER 8",,"GANTT","AL","36038",273,"01","039","28936","COVINGTON","COUNTY",,,
"01","2","020","803","HORN HILL","TOWN","MAYOR","RT 2 BOX 72",,"OPP","AL","36467",280,"01","039","36088","COVINGTON","COUNTY",,,
"01","2","020","804","LIBERTYVILLE","TOWN","CITY CLERK","RR 5BOX 66A",,"ANDALUSIA","AL","36420",140,"01","039","42808","COVINGTON","COUNTY",,,
"01","2","020","805","ONYCHA","TOWN","MAYOR","RFD",,"OPP","AL","36467",168,"01","039","57024","COVINGTON","COUNTY",,,
"01","2","020","806","SANFORD","TOWN","CITY CLERK","ROUTE 3 BOX 56G",,"ANDALUSIA","AL","36420",312,"01","039","68016","COVINGTON","COUNTY",,,
"01","2","021","001","BRANTLEY","TOWN","MAYOR","P. O. BOX 44",,"BRANTLEY","AL","36009",925,"01","041","09016","CRENSHAW","COUNTY",,,
"01","2","021","002","DOZIER","TOWN","MAYOR","P. O. BOX 36",,"DOZIER","AL","36028",462,"01","041","21448","CRENSHAW","COUNTY",,,
"01","2","021","003","GLENWOOD","TOWN","MAYOR","P. O. BOX 97",,"GLENWOOD","AL","36034",202,"01","041","30160","CRENSHAW","COUNTY",,,
"01","2","021","004","LUVERNE","CITY","MAYOR","P. O. BOX 249",,"LUVERNE","AL","36049",2469,"01","041","44728","CRENSHAW","COUNTY",,,
"01","2","021","005","PETREY","TOWN","MAYOR","P. O. BOX 41",,"PETREY","AL","36062",76,"01","041","59328","CRENSHAW","COUNTY",,,
"01","2","021","006","RUTLEDGE","TOWN","MAYOR","P. O. BOX 85",,"RUTLEDGE","AL","36071",484,"01","041","67176","CRENSHAW","COUNTY",,,
"01","2","022","001","CULLMAN","CITY","MAYOR","P. O. BOX 278",,"CULLMAN","AL","35055",18195,"01","043","18976","CULLMAN","COUNTY",,,
"01","2","022","002","GARDEN CITY","TOWN","CLERK TREASURER","P O BOX 172",,"GARDEN CITY","AL","35070",590,"01","043","29032","CULLMAN","COUNTY",,,
"01","2","022","003","HANCEVILLE","CITY","MAYOR","112 MAIN STREET, S. E.",,"HANCEVILLE","AL","35077",2844,"01","043","32968","CULLMAN","COUNTY",,,
"01","2","022","004","HOLLY POND","TOWN","MAYOR","P. O. BOX 9",,"HOLLY POND","AL","35083",627,"01","043","35560","CULLMAN","COUNTY",,,
"01","2","022","201","DODGE CITY","TOWN","MAYOR","3972 COUNTY ROAD 216",,"HANCEVILLE","AL","35077",518,"01","043","20955","CULLMAN","COUNTY",,,
"01","2","022","501","SOUTH VINEMONT","TOWN","TOWN CLERK","P. O. BOX 68",,"VINEMONT","AL","35179",577,"01","043","71900","CULLMAN","COUNTY",,,
"01","2","022","601","WEST POINT","TOWN","MAYOR","P O BOX 1641",,"CULLMAN","AL","35056",276,"01","043","81528","CULLMAN","COUNTY",,,
"01","2","022","602","COLONY","TOWN","MAYOR","65 BYARS ROAD",,"HANCEVILLE","AL","35077",333,"01","043","16684","CULLMAN","COUNTY",,,
"01","2","022","801","FAIRVIEW","TOWN","MAYOR","7525 ALABAMA HIGHWAY #69, NORTH",,"CULLMAN","AL","35055",411,"01","043","25384","CULLMAN","COUNTY",,,
"01","2","022","802","GOOD HOPE","TOWN","MAYOR","RT 12 BOX 65",,"CULLMAN","AL","35055",1829,"01","043","30496","CULLMAN","COUNTY",,,
"01","2","022","901","BAILEYTON","TOWN","TOWN CLERK","P O BOX 116",,"BAILEYTON","AL","35019",372,"01","043","03676","CULLMAN","COUNTY",,,
"01","2","023","001","ARITON","TOWN","MAYOR","P. O. BOX  53",,"ARITON","AL","36311",723,"01","045","02428","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","002","MIDLAND CITY","TOWN","MAYOR","P. O. BOX 69",,"MIDLAND CITY","AL","36350",1844,"01","045","48400","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","003","NEWTON","TOWN","MAYOR","P. O. BOX 10",,"NEWTON","AL","36352",1594,"01","045","54480","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","004","OZARK","CITY","MAYOR","P. O. BOX 1987",,"OZARK","AL","36361",12745,"01","045","57648","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","005","PINCKARD","TOWN","MAYOR F M MCNAB","P. O. BOX 202",,"PINCKARD","AL","36371",595,"01","045","59832","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","501","DALEVILLE","CITY","MAYOR","P. O. BOX 188",,"DALEVILLE","AL","36322",5352,"01","045","19360","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","701","LEVEL PLAINS","TOWN","MAYOR","RT 1",,"DALEVILLE","AL","36322",1578,"01","045","42472","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","801","GRIMES","TOWN","MAYOR","RFD 6 BOX 250",,"DOTHAN","AL","36301",438,"01","045","32056","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","803","NAPIER FIELD","TOWN","MAYOR","RT 6 TOWN HALL",,"NAPIER FIELD","AL","36303",454,"01","045","53256","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","023","901","CLAYHATCHEE","TOWN","MAYOR","ROUTE 3 BOX 227",,"DALEVILLE","AL","36322",419,"01","045","15304","DALE","COUNTY","2180","00","DOTHAN, AL"
"01","2","024","001","ORRVILLE","TOWN","MAYOR","P. O. BOX 98",,"ORRVILLE","AL","36767",256,"01","047","57240","DALLAS","COUNTY",,,
"01","2","024","002","SELMA","CITY","BUDGET AND COMPUTER OFFICER","P. O. DRAWER L",,"SELMA","AL","36702",22745,"01","047","69120","DALLAS","COUNTY",,,
"01","2","025","001","COLLINSVILLE","TOWN","MAYOR","P. O. DRAWER N",,"COLLINSVILLE","AL","35961",1483,"01","049","16600","DE KALB","COUNTY",,,
"01","2","025","002","CROSSVILLE","TOWN","MAYOR","P. O. BOX 278",,"CROSSVILLE","AL","35962",1339,"01","049","18856","DE KALB","COUNTY",,,
"01","2","025","003","FORT PAYNE","CITY","MAYOR","200 GAULT AVE., S.",,"FORT PAYNE","AL","35967",12480,"01","049","27616","DE KALB","COUNTY",,,
"01","2","025","004","FYFFE","TOWN","MAYOR","P. O. BOX 8",,"FYFFE","AL","35971",1075,"01","049","28672","DE KALB","COUNTY",,,
"01","2","025","005","HAMMONDVILLE","TOWN","MAYOR","ROUTE 1",,"VALLEY HEAD","AL","35989",443,"01","049","32896","DE KALB","COUNTY",,,
"01","2","025","006","MENTONE","TOWN","MAYOR","P. O. BOX 278",,"MENTONE","AL","35984",469,"01","049","48064","DE KALB","COUNTY",,,
"01","2","025","007","RAINSVILLE","CITY","MAYOR","P. O. BOX 309",,"RAINSVILLE","AL","35986",3975,"01","049","63336","DE KALB","COUNTY",,,
"01","2","025","008","VALLEY HEAD","TOWN","TOWN CLERK","P. O. BOX 144",,"VALLEY HEAD","AL","35989",566,"01","049","78240","DE KALB","COUNTY",,,
"01","2","025","501","GERALDINE","TOWN","TOWN CLERK","P. O. BOX 183",,"GERALDINE","AL","35974",776,"01","049","29608","DE KALB","COUNTY",,,
"01","2","025","601","PINE RIDGE","TOWN","MAYOR","RT 3 BOX 972",,"FORT PAYNE","AL","35967",243,"01","049","60372","DE KALB","COUNTY",,,
"01","2","025","701","HENAGAR","TOWN","MAYOR","P. O. BOX 39",,"HENAGAR","AL","35978",1954,"01","049","34096","DE KALB","COUNTY",,,
"01","2","025","801","LAKEVIEW","TOWN","MAYOR","RT 1 BOX 379",,"FYFFE","AL","35971",177,"01","049","40888","DE KALB","COUNTY",,,
"01","2","025","803","SYLVANIA","TOWN","MAYOR","POST OFFICE BOX 149",,"SYLVANIA","AL","35988",975,"01","049","74400","DE KALB","COUNTY",,,
"01","2","025","901","POWELL","TOWN","MAYOR","RT 2,  BOX 98",,"FYFFE","AL","35971",795,"01","049","62075","DE KALB","COUNTY",,,
"01","2","025","902","SHILO","TOWN","C/O H M PULLEN","P. O. BOX 924",,"RAINSVILLE","AL","35986",264,"01","049","69840","DE KALB","COUNTY",,,
"01","2","025","903","IDER","TOWN","TOWN CLERK","P O BOX 72",,"IDER","AL","35981",665,"01","049","37312","DE KALB","COUNTY",,,
"01","2","026","001","ECLECTIC","TOWN","MAYOR","P. O. BOX 540",,"ECLECTIC","AL","36024",1269,"01","051","22816","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","026","002","TALLASSEE","CITY","MAYOR","214 BARNETT BLVD.",,"TALLASSEE","AL","36078",5272,"01","051","74688","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","026","003","WETUMPKA","CITY","MAYOR","P. O. BOX 480",,"WETUMPKA","AL","36092",5868,"01","051","81720","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","026","301","DEATSVILLE","TOWN","CLERK","P.O. BOX 220167",,"DEATSVILLE","AL","36022",0,"01","051","20008","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","026","901","MILLBROOK","CITY","CITY CLERK","BOX C",,"MILLBROOK","AL","36054",8925,"01","051","48712","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","026","902","COOSADA","TOWN","TOWN CLERK","P O BOX 96",,"COOSADA","AL","36020",1209,"01","051","17176","ELMORE","COUNTY","5240","00","MONTGOMERY, AL"
"01","2","027","001","ATMORE","CITY","MAYOR","P O DRAWER G",,"ATMORE","AL","36504",7979,"01","053","03004","ESCAMBIA","COUNTY",,,
